cnyindex,meanGDP,population,firstNum,secondNum,thirdNum,fourNum,fiveNum,totalsale,Name,Class_1,Class_2,Class_3,Class_4,Class_5
80,15562,28.2,1270313,483139,1518478,589440,0,3861370,镇宁布依族苗族自治县,,,,,
81,14432,25.5,1085276,773783,1433900,749221,10,4042190,普安县,,,,,
82,11653,23.02,2409667,704519,4256319,2646714,0,10017219,平塘县,,,,4,
83,9991,29.09,1437944,700857,1512169,562833,0,4213803,从江县,,,,,
84,14117,29.99,1262583,313380,1464268,532462,0,3572693,关岭布依族苗族自治县,,,,,
85,10749,26.87,930192,278163,1327357,895177,0,3430889,紫云苗族布依族自治县,,,,,
86,14011,30.48,1756222,921462,2779776,2087538,0,7544998,独山县,,,,,
87,14111,18.64,1218789,314942,1662283,902256,0,4098270,长顺县,,,,,
88,15423,41.9,1468810,891668,1958040,1146825,0,5465343,兴仁县,,,,,
89,13449,25,1033905,290903,1343650,1010163,0,3678621,罗甸县,,,,,
90,17595,30.4,952821,697268,1264144,1170589,0,4084822,贞丰县,,,,,
91,11653,23.02,2409667,704519,4256319,2646714,0,10017219,平塘县,,,,,
92,19014,14.5,894118,427688,1287969,797650,0,3407425,荔波县,,,,,
93,8501,25.2,534516,308934,628224,969474,0,2441148,望谟县,,,,,
94,15112,35.9,986864,561366,1435285,590081,0,3573596,安龙县,,,,,
95,26032,78.5,4040307,2161530,4331328,1575033,0,12108198,兴义市,,,,,
96,9958,19.1,360636,245280,486115,708623,0,1800654,册亨县,,,,,
